老千 ,"['崔东勋', '崔东勋', '许英万', '曹承佑', '金惠秀', '白润植', '柳海真', '李水京', '金应洙', '金允石', '剧情', '犯罪']","['崔东勋', '许英万']","['曹承佑', '金惠秀', '白润植', '柳海真', '李水京', '金应洙', '金允石']","['剧情', '犯罪']",['制片国家/地区: 韩国'],['语言: 韩语'],['上映日期: 2006-09-28'],['又名: 泰沙大豪客(港) / The War of Flower / Tazza: the High Rollers'],"
                            ",['ftp://6vdy:6vdy@vip.36ys.com:2116/【6V电影www.6vdy.com】老千BD中字1024x576无水印版.rmvb']
老千2：神之手  ,[],[],[],[],[],[],[],[],"
                            因在老家伤人而跑路的咸大吉（崔胜铉 饰），来到江南道投奔相熟的查理哥。经查理引荐，大吉在开设赌场的高章社长那里谋得一份差使。大吉凭借天赋般的老千技巧、帅气的容貌和伶俐的口才，很快成为高社长最为器重的手下。在此期间，他结识了美艳妇人于智妍（李荷妮 饰），却因帮助智妍摆脱高社长设下的陷阱而把自己置身凶险之地。不久他重逢跟随牌友张东植而来的初恋女孩许美娜（申世京 饰），结果在那场赌局中遭遇了人生最惨痛的败局。从天上跌落谷底的大吉，经美娜帮助他离开了暗潮汹涌的江南道，并在途中遇见隐姓埋名的老千高手（柳海真 饰）。",['ed2k://|file|老千2.神之手.HD中字1024高清【6v电影www.6vhao.net】.mkv|2160440975|B1EE69D0ECA84E4CA91EED7AB73A7E29|h=3ZI5B3U25C76ZMSXWYCHHUM4VCUERYUW|/']
我在雨中等你 ,"['西蒙·柯蒂斯', '马克·鲍姆贝克', '加斯·斯坦', '凯文·科斯特纳', '米洛·文堤米利亚', '阿曼达·塞弗里德', '马丁·唐文', '盖瑞·科尔', '凯西·贝克', '阿尔·萨皮恩扎', '莉莉·多斯沃斯 埃文斯', '赖恩·基拉·阿姆斯特朗', '凯伦·霍尔尼斯', '麦金利·贝尔彻', '阿里萨·维拉尼', '伊丽莎白·鲍恩', '帕特里克·罗卡斯', '李利强', '吉安皮罗·科格诺利', '剧情', '喜剧']","['马克·鲍姆贝克', '加斯·斯坦']","['凯文·科斯特纳', '米洛·文堤米利亚', '阿曼达·塞弗里德', '马丁·唐文', '盖瑞·科尔', '凯西·贝克', '阿尔·萨皮恩扎', '莉莉·多斯沃斯 埃文斯', '赖恩·基拉·阿姆斯特朗', '凯伦·霍尔尼斯', '麦金利·贝尔彻', '阿里萨·维拉尼', '伊丽莎白·鲍恩', '帕特里克·罗卡斯', '李利强', '吉安皮罗·科格诺利']","['剧情', '喜剧']",['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2019-08-09(美国)'],['IMDb链接: tt1478839'],"
                            影片改编自Garth Stein所著同名畅销小说，聚焦一只名叫恩佐的狗狗，和他的主人——职业赛车手Denny Swift，恩佐跟着Denny学会了很多生活哲学。","['ed2k://|file|我在雨中等你.1080p.BD中英双字[66影视www.66Ys.Co].mp4|1713052579|56DCB2D2D434FCBCF42915CAF559E2EA|h=GPEUAEZSH6YNJ2JRN3IFI2MEGAZBEXID|/', 'magnet:?xt=urn:btih:GSVKNMR6NVTOJXR3SF2SXBMK5PFL2XIR']"
四目大师 ,"['刘观伟', '李佳璇', '郑智阳', '钱小豪', '陈友', '彭梓轩', '冯悠苒', '张展硕', '袁苡瑞', '王力', '庆铃', '美玲', '苏德伦', '汪晨辰', '吴佰慧', '黄梓涵', '李沐凝', '单昱翔', '李厽', '庄其迁', '喜剧', '动作', '奇幻']","['李佳璇', '郑智阳']","['钱小豪', '陈友', '彭梓轩', '冯悠苒', '张展硕', '袁苡瑞', '王力', '庆铃', '美玲', '苏德伦', '汪晨辰', '吴佰慧', '黄梓涵', '李沐凝', '单昱翔', '李厽', '庄其迁']","['喜剧', '动作', '奇幻']",['制片国家/地区: 中国大陆 / 中国香港'],['语言: 汉语普通话 / 粤语'],['上映日期: 2019-10-18(中国大陆)'],['又名: Master of Four Eyes'],"
                            因瘟疫感染存活下来的姜小斯，在某种病毒的催化下拥有了一些超能力的行为而被神秘组织黑羽会盯上。友叔、豪叔还有豪叔的干女儿周茗茗等一众小朋友为了保护小斯和黑羽会抗争而发生的一系列啼笑皆非的故事。","['magnet:?xt=urn:btih:GAAW7DCPA2CQ7LAVBR76IABAVHAVII77', 'ed2k://|file|四目大师.1080p.HD国语中字.mp4|1566965382|0350A9CF6F7A5E79483977B77245BD62|h=BKA3DITSG2IFZHRAKLA44TYC5VFLUQL3|/']"
横行霸道 ,"['刘笑', '秦鹏飞', '刘笑', '秦鹏飞', '克拉拉', '张昊玥', '张梦露', '袁伶嫣', '喜剧', '动作']","['刘笑', '秦鹏飞']","['克拉拉', '张昊玥', '张梦露', '袁伶嫣']","['喜剧', '动作']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-10-13(中国大陆)'],[],"
                            沈越、付晓菲、王佳男、大笑四个在现实生活中各自遇到不同困境和心结的女孩子，为了实现每个人的目的和梦想，她们共同参与一场惊险刺激的大型游戏竞赛“逃出生天”而使四人聚到一起。起初四个女孩儿彼此陌生，从一开始跳伞阶段就意见不统一，导致落地便分道扬镳。中途因为王佳男、大笑、付晓菲三人被敌人所擒，之前脱队的沈越挺身而出疾速营救，使得四个女孩的感情得到了升华。在接下来的比赛过程中，四个女孩经历了抢空投、车战以及狙击战，使得四个女孩逐渐团结起来，最终打开了彼此每个人的心结，携手击败了最强大的劲敌——国服排行榜榜首冠军张英勋。集中体现出了四个女孩每个人的成长以及真正经得起考验的友谊是通过齐心协作来收获的。","['magnet:?xt=urn:btih:X4SWU2XQK7MZCOB5FPNJCPN4PHU75H4K', 'ed2k://|file|横行霸道.1080p.HD国语中字.mp4|1998310166|E5F74F69ED2293A8EA0E9CD5959AA50F|h=EIA6INMOCLUJEVUQFFWKUIXJ5BMT6UF3|/']"
蛤蟆神功 ,"['张嘉豪', '张嘉豪', '于声国', '杨小璇', '伍程', '王盛', '动作', '武侠', '古装']",['张嘉豪'],"['于声国', '杨小璇', '伍程', '王盛']","['动作', '武侠', '古装']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-09-25(中国大陆)'],[],"
                            战乱时期，江湖上五大毒宗拔地而起，五大毒宗对应着生活中的五毒。圣鳞教教主南宫懿为满足自己私心，抢夺各门派武功秘籍。一个毫无征兆的夜晚，狂风四起。天龙门掌门失踪，金乌派惨遭灭门，天蟾谷一夜间彻底消失。天蟾谷掌门幼子独孤俞在被追杀的过程中被谷中长老独孤仲使出蛤蟆神功所救，并由一农村老妇抚养，是为奶奶。十八年后。独孤俞结识了南宫翎，两人互生情愫，却没想到是大仇人南宫懿的女儿，而南宫懿十八年来一直在寻找独孤俞。独孤俞被抓，翎翎冒死救出，一次意外独孤俞坠崖练成了蛤蟆神功。独孤俞前去找南宫懿报仇，南宫翎为了终止这场大战牺牲了自己，南宫懿亲手杀死了自己最爱的女儿，走火入魔，成了疯子。最终独孤俞也放下了恩怨。","['magnet:?xt=urn:btih:EYOD4OTLGTO6DAPBG3NWZDXQN4ZKLMP5', 'ed2k://|file|蛤蟆神功.1080p.HD国语中字.mkv|2024904971|2E30205A24AF85D405F495369CDD596D|h=43QMIYVVU4GESEPC23OWGZFYBFRTSJNZ|/']"
无畏：中途岛之战 ,"['迈克·菲利普斯', '亚当·克莱恩', '贾德·尼尔森', '德鲁·加勒特', 'Aidan Bristow', 'C·托马斯·豪威尔', '詹姆斯·奥斯汀·科尔', '剧情', '战争']",['亚当·克莱恩'],"['贾德·尼尔森', '德鲁·加勒特', 'Aidan Bristow', 'C·托马斯·豪威尔', '詹姆斯·奥斯汀·科尔']","['剧情', '战争']",['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2019-09-01(美国)'],['又名: Dauntless: The Battle of Midway'],"
                            1942年6月，日本海军横扫太平洋。为了改变战争的进程，美国的一个航母战斗群被部署在中途岛海岸外，其任务是对敌人设置陷阱。在这场关键的战斗中，一架美国海军俯冲轰炸机的两名机组人员被迫在海上迫降。卡特琳娜水上飞机被派去寻找幸存者。随着时间一天天过去，救援的机会越来越渺茫，在广阔的太平洋中，这些人不得不面对自己的死亡。","['ed2k://|file|无畏：中途岛之战.720p.BD中英双字[66影视www.66Ys.Co].mp4|1620063407|8846374CEA6DA40ECB37EE357125B72C|h=JHUYHDPNTTNWZUAJSLLJEOMGOGLXSA4H|/', 'magnet:?xt=urn:btih:IBGUIJCHZS3IHT7NQQ5D2EV7HUBVNOTX']"
撒旦的恐慌 ,"['Chelsea Stardust Peters', 'Ted Geoghegan', 'Grady Hendrix', '丽贝卡·罗梅恩', '杰瑞·奥康奈尔', '乔丹·莱德', '喜剧', '恐怖']","['Ted Geoghegan', 'Grady Hendrix']","['丽贝卡·罗梅恩', '杰瑞·奥康奈尔', '乔丹·莱德']","['喜剧', '恐怖']",['制片国家/地区: 美国'],['语言: 英语'],['上映日期: 2019-09-06(美国)'],['IMDb链接: tt8510350'],"
                            一名披萨外卖女孩在财务困境的尽头必须为自己的生活和自己的技巧而战-当她的最后一晚变成上流社会的撒旦主义者时，需要处女的牺牲。","['ed2k://|file|撒旦的恐慌.720p.BD中英双字[66影视www.66Ys.Co].mp4|1213679359|2E16ECCD5D0113B31813AEDF418A6C25|h=GFLPAXXOD677MXSXKUNTV7AFSD3CIIMT|/', 'magnet:?xt=urn:btih:5QHC73FDSQ65SRV32MLKH4WROS6NGWTD']"
沉睡魔咒 ,"['罗伯特·斯特罗姆伯格', '保罗·迪尼', '琳达·伍尔芙顿', '安吉丽娜·朱莉', '艾丽·范宁', '沙尔托·科普雷', '莱丝利·曼维尔', '艾美达·斯丹顿', '朱诺·坦普尔', '萨姆·赖利', '布伦顿·思韦茨', '肯尼思·库兰汉姆', '莎拉·弗林德', '汉娜·纽', '伊莎贝尔·莫洛伊', '迈克尔·希金斯', '艾拉·珀内尔', '杰克逊·比尤斯', '奇幻', '冒险']","['保罗·迪尼', '琳达·伍尔芙顿']","['安吉丽娜·朱莉', '艾丽·范宁', '沙尔托·科普雷', '莱丝利·曼维尔', '艾美达·斯丹顿', '朱诺·坦普尔', '萨姆·赖利', '布伦顿·思韦茨', '肯尼思·库兰汉姆', '莎拉·弗林德', '汉娜·纽', '伊莎贝尔·莫洛伊', '迈克尔·希金斯', '艾拉·珀内尔', '杰克逊·比尤斯']","['奇幻', '冒险']",['官方网站: movies.disney.com/maleficent'],['制片国家/地区: 美国 / 英国'],['语言: 英语'],['片长: 98分钟(中国大陆) / 97分钟(美国)'],"
                            ","['magnet:?xt=urn:btih:BJ4TLTKCK3UB3BV5BXLM3W7PRLNI6NPD', 'ed2k://|file|沉睡魔咒.1080p.国英双语.BD中英双字[66影视www.66Ys.Co].mp4|1971033919|51F5544E8CB075D5987A5F80F6B2CCA1|h=2QFD72C6FVL6BNHPHPHGPDIDQG3KHT6Y|/']"
致命狙杀 ,"['王岩川', '牛兴安', '童睿', '罗立群', '王姝允', '殷越', '太田直行', '剧情', '战争']","['牛兴安', '童睿']","['罗立群', '王姝允', '殷越', '太田直行']","['剧情', '战争']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-10-24(中国大陆)'],['又名: 狙杀'],"
                            1938年，武汉沦陷前夕，传奇狙击手左英杰率小队拼死阻击，一战成名。不料事后却遭小人构陷含冤入狱，女特工沈雪在狱中找到昔日战场英雄并授予一项绝密刺杀任务。左英杰临危受命，不料行动伊始便遭遇宿敌日军王牌狙击手下川国正伏击，身陷险境。惊天阴谋逐渐浮出水面，国恨家仇、狭路相逢，巅峰对决一触即发……","['magnet:?xt=urn:btih:PGMHTXTZQQ3LBQOY75QRKPPEKVNEEDON', 'ed2k://|file|致命狙杀.2019.1080p.HD国语中字.mp4|1050819222|7EF09A8813AFDEE6C763F05380C14670|h=3XD7M5AOEMXKGAOM5NDSJYWV5ILBSUSA|/']"
降龙觉醒 ,"['胡明凯', '孙梦飞', '玄晴', '刘冠麟', '朱丽岚', '郑国霖', '赵熠洋', '金玄雨', '郭振迦', '卢夏禹', '王陈怡娴', '喜剧', '动作', '爱情', '武侠', '古装']",['玄晴'],"['刘冠麟', '朱丽岚', '郑国霖', '赵熠洋', '金玄雨', '郭振迦', '卢夏禹', '王陈怡娴']","['喜剧', '动作', '爱情', '武侠', '古装']",['制片国家/地区: 中国大陆'],['语言: 汉语普通话'],['上映日期: 2019-10-25(中国大陆)'],[],"
                            李修缘幼年目睹妖怪为祸人间，深深体会到妖魔给人们带来的痛苦。长大后成亲之日，遇到神秘高僧点化，说他是降龙罗汉降世，能够拯救世间苦难。于是修缘背弃婚约，入佛门之后谨遵戒律，刻苦修行，却始终无法融合金身、觉醒成为降龙罗汉。在寻找机缘的途中，修缘与未婚妻镜心相遇，镜心要把修缘绑回去成亲，修缘坚定拒绝，屡屡逃走，两人追追逃逃来到灵仙镇。灵仙镇常年有妖怪出没，需要不断献祭少女才能保得平安。修缘与镜心联手除妖，不料这竟是一场巨大的阴谋。面对重重困境，修缘能否成功破局，又能否冲破内心桎梏，成长为真正的降龙罗汉？","['magnet:?xt=urn:btih:BCHQVRJUGC2JLTJNSWRBLLDSFU2E6FVC', 'ed2k://|file|降龙觉醒.2019.1080p.HD国语中字.mp4|1122744696|1F38CE948BD4832FA810109296205639|h=JU5YG46SST6SMW2GFIPZQVXUZ7EUPYOV|/']"
