片名,磁力链接,简介
['仲夏夜惊魂 '],['magnet:?xt=urn:btih:G3C6W4BPHPI6WSFNHWRZ7CKMDX6FUYRU'],"['\n                            杰克·莱诺、威尔·保尔特加盟阿里·艾斯特([遗传厄运])执导的恐怖新片，主演弗洛伦斯·皮尤。故事讲述皮尤、莱诺饰演的一对情侣来到瑞典乡间参加一个夏季节日活动，没想到整个活动都朝着暴力、诡异的方向发展。[遗传厄运]已成为A24出品最卖座影片，新片仍由A24出品，目前正在布达佩斯拍摄。', '\n                        ']"
['仲夏夜惊魂 '],['magnet:?xt=urn:btih:G3C6W4BPHPI6WSFNHWRZ7CKMDX6FUYRU'],"['\n                            杰克·莱诺、威尔·保尔特加盟阿里·艾斯特([遗传厄运])执导的恐怖新片，主演弗洛伦斯·皮尤。故事讲述皮尤、莱诺饰演的一对情侣来到瑞典乡间参加一个夏季节日活动，没想到整个活动都朝着暴力、诡异的方向发展。[遗传厄运]已成为A24出品最卖座影片，新片仍由A24出品，目前正在布达佩斯拍摄。', '\n                        ']"
['仲夏夜惊魂 '],['magnet:?xt=urn:btih:G3C6W4BPHPI6WSFNHWRZ7CKMDX6FUYRU'],"['\n                            杰克·莱诺、威尔·保尔特加盟阿里·艾斯特([遗传厄运])执导的恐怖新片，主演弗洛伦斯·皮尤。故事讲述皮尤、莱诺饰演的一对情侣来到瑞典乡间参加一个夏季节日活动，没想到整个活动都朝着暴力、诡异的方向发展。[遗传厄运]已成为A24出品最卖座影片，新片仍由A24出品，目前正在布达佩斯拍摄。', '\n                        ']"
['仲夏夜惊魂 '],['magnet:?xt=urn:btih:G3C6W4BPHPI6WSFNHWRZ7CKMDX6FUYRU'],"['\n                            杰克·莱诺、威尔·保尔特加盟阿里·艾斯特([遗传厄运])执导的恐怖新片，主演弗洛伦斯·皮尤。故事讲述皮尤、莱诺饰演的一对情侣来到瑞典乡间参加一个夏季节日活动，没想到整个活动都朝着暴力、诡异的方向发展。[遗传厄运]已成为A24出品最卖座影片，新片仍由A24出品，目前正在布达佩斯拍摄。', '\n                        ']"
['仲夏夜惊魂 '],['magnet:?xt=urn:btih:G3C6W4BPHPI6WSFNHWRZ7CKMDX6FUYRU'],"['\n                            杰克·莱诺、威尔·保尔特加盟阿里·艾斯特([遗传厄运])执导的恐怖新片，主演弗洛伦斯·皮尤。故事讲述皮尤、莱诺饰演的一对情侣来到瑞典乡间参加一个夏季节日活动，没想到整个活动都朝着暴力、诡异的方向发展。[遗传厄运]已成为A24出品最卖座影片，新片仍由A24出品，目前正在布达佩斯拍摄。', '\n                        ']"
['仲夏夜惊魂 '],['magnet:?xt=urn:btih:G3C6W4BPHPI6WSFNHWRZ7CKMDX6FUYRU'],"['\n                            杰克·莱诺、威尔·保尔特加盟阿里·艾斯特([遗传厄运])执导的恐怖新片，主演弗洛伦斯·皮尤。故事讲述皮尤、莱诺饰演的一对情侣来到瑞典乡间参加一个夏季节日活动，没想到整个活动都朝着暴力、诡异的方向发展。[遗传厄运]已成为A24出品最卖座影片，新片仍由A24出品，目前正在布达佩斯拍摄。', '\n                        ']"
['仲夏夜惊魂 '],['magnet:?xt=urn:btih:G3C6W4BPHPI6WSFNHWRZ7CKMDX6FUYRU'],"['\n                            杰克·莱诺、威尔·保尔特加盟阿里·艾斯特([遗传厄运])执导的恐怖新片，主演弗洛伦斯·皮尤。故事讲述皮尤、莱诺饰演的一对情侣来到瑞典乡间参加一个夏季节日活动，没想到整个活动都朝着暴力、诡异的方向发展。[遗传厄运]已成为A24出品最卖座影片，新片仍由A24出品，目前正在布达佩斯拍摄。', '\n                        ']"
['仲夏夜惊魂 '],['magnet:?xt=urn:btih:G3C6W4BPHPI6WSFNHWRZ7CKMDX6FUYRU'],"['\n                            杰克·莱诺、威尔·保尔特加盟阿里·艾斯特([遗传厄运])执导的恐怖新片，主演弗洛伦斯·皮尤。故事讲述皮尤、莱诺饰演的一对情侣来到瑞典乡间参加一个夏季节日活动，没想到整个活动都朝着暴力、诡异的方向发展。[遗传厄运]已成为A24出品最卖座影片，新片仍由A24出品，目前正在布达佩斯拍摄。', '\n                        ']"
['仲夏夜惊魂 '],['magnet:?xt=urn:btih:G3C6W4BPHPI6WSFNHWRZ7CKMDX6FUYRU'],"['\n                            杰克·莱诺、威尔·保尔特加盟阿里·艾斯特([遗传厄运])执导的恐怖新片，主演弗洛伦斯·皮尤。故事讲述皮尤、莱诺饰演的一对情侣来到瑞典乡间参加一个夏季节日活动，没想到整个活动都朝着暴力、诡异的方向发展。[遗传厄运]已成为A24出品最卖座影片，新片仍由A24出品，目前正在布达佩斯拍摄。', '\n                        ']"
['仲夏夜惊魂 '],['magnet:?xt=urn:btih:G3C6W4BPHPI6WSFNHWRZ7CKMDX6FUYRU'],"['\n                            杰克·莱诺、威尔·保尔特加盟阿里·艾斯特([遗传厄运])执导的恐怖新片，主演弗洛伦斯·皮尤。故事讲述皮尤、莱诺饰演的一对情侣来到瑞典乡间参加一个夏季节日活动，没想到整个活动都朝着暴力、诡异的方向发展。[遗传厄运]已成为A24出品最卖座影片，新片仍由A24出品，目前正在布达佩斯拍摄。', '\n                        ']"
